Date,INR,EUR,GBP,JPY,CNY,CAD,AUD,CHF,SGD,MYR,THB,MXN,BRL,KRW,ZAR
2029-01-19,12702.89,289.32,182.87,31347.79,2259.99,409.42,526.78,442.17,472.2,1037.19,11769.41,2620.28,532.24,343638.43,2066.2
2029-01-20,12707.81,289.43,182.94,31359.95,2260.87,409.58,526.99,442.34,472.38,1037.6,11773.98,2621.29,532.45,343771.71,2067.0
2029-01-21,12712.74,289.55,183.02,31372.11,2261.74,409.74,527.19,442.51,472.56,1038.0,11778.54,2622.31,532.66,343904.99,2067.8
2029-01-22,12717.67,289.66,183.09,31384.27,2262.62,409.89,527.4,442.69,472.75,1038.4,11783.11,2623.33,532.86,344038.27,2068.6
2029-01-23,12722.59,289.77,183.16,31396.43,2263.5,410.05,527.6,442.86,472.93,1038.8,11787.67,2624.34,533.07,344171.55,2069.4
2029-01-24,12727.52,289.88,183.23,31408.59,2264.37,410.21,527.81,443.03,473.11,1039.2,11792.24,2625.36,533.28,344304.84,2070.2
2029-01-25,12732.45,290.0,183.3,31420.74,2265.25,410.37,528.01,443.2,473.29,1039.61,11796.8,2626.37,533.48,344438.12,2071.01
2029-01-26,12737.37,290.11,183.37,31432.9,2266.12,410.53,528.22,443.37,473.48,1040.01,11801.37,2627.39,533.69,344571.4,2071.81
2029-01-27,12742.3,290.22,183.44,31445.06,2267.0,410.69,528.42,443.54,473.66,1040.41,11805.93,2628.41,533.9,344704.68,2072.61
2029-01-28,12747.23,290.33,183.51,31457.22,2267.88,410.85,528.62,443.72,473.84,1040.81,11810.49,2629.42,534.1,344837.96,2073.41
2029-01-29,12752.15,290.44,183.58,31469.38,2268.75,411.01,528.83,443.89,474.03,1041.22,11815.06,2630.44,534.31,344971.24,2074.21
2029-01-30,12757.08,290.56,183.65,31481.54,2269.63,411.17,529.03,444.06,474.21,1041.62,11819.62,2631.46,534.51,345104.52,2075.01
2029-01-31,12762.01,290.67,183.72,31493.7,2270.51,411.32,529.24,444.23,474.39,1042.02,11824.19,2632.47,534.72,345237.81,2075.81
2029-02-01,12766.93,290.78,183.8,31505.85,2271.38,411.48,529.44,444.4,474.58,1042.42,11828.75,2633.49,534.93,345371.09,2076.62
2029-02-02,12771.86,290.89,183.87,31518.01,2272.26,411.64,529.65,444.57,474.76,1042.82,11833.32,2634.51,535.13,345504.37,2077.42
2029-02-03,12776.79,291.01,183.94,31530.17,2273.14,411.8,529.85,444.74,474.94,1043.23,11837.88,2635.52,535.34,345637.65,2078.22
2029-02-04,12781.71,291.12,184.01,31542.33,2274.01,411.96,530.05,444.92,475.13,1043.63,11842.45,2636.54,535.55,345770.93,2079.02
2029-02-05,12786.64,291.23,184.08,31554.49,2274.89,412.12,530.26,445.09,475.31,1044.03,11847.01,2637.55,535.75,345904.21,2079.82
2029-02-06,12791.57,291.34,184.15,31566.65,2275.77,412.28,530.46,445.26,475.49,1044.43,11851.58,2638.57,535.96,346037.5,2080.62
2029-02-07,12796.5,291.45,184.22,31578.8,2276.64,412.44,530.67,445.43,475.68,1044.84,11856.14,2639.59,536.17,346170.78,2081.42
2029-02-08,12801.42,291.57,184.29,31590.96,2277.52,412.59,530.87,445.6,475.86,1045.24,11860.71,2640.6,536.37,346304.06,2082.23
2029-02-09,12806.35,291.68,184.36,31603.12,2278.4,412.75,531.08,445.77,476.04,1045.64,11865.27,2641.62,536.58,346437.34,2083.03
2029-02-10,12811.28,291.79,184.43,31615.28,2279.27,412.91,531.28,445.94,476.22,1046.04,11869.84,2642.64,536.79,346570.62,2083.83
2029-02-11,12816.2,291.9,184.5,31627.44,2280.15,413.07,531.48,446.12,476.41,1046.45,11874.4,2643.65,536.99,346703.9,2084.63
2029-02-12,12821.13,292.02,184.58,31639.6,2281.03,413.23,531.69,446.29,476.59,1046.85,11878.97,2644.67,537.2,346837.18,2085.43
2029-02-13,12826.06,292.13,184.65,31651.75,2281.9,413.39,531.89,446.46,476.77,1047.25,11883.53,2645.68,537.4,346970.47,2086.23
2029-02-14,12830.98,292.24,184.72,31663.91,2282.78,413.55,532.1,446.63,476.96,1047.65,11888.1,2646.7,537.61,347103.75,2087.03
2029-02-15,12835.91,292.35,184.79,31676.07,2283.66,413.71,532.3,446.8,477.14,1048.05,11892.66,2647.72,537.82,347237.03,2087.84
2029-02-16,12840.84,292.46,184.86,31688.23,2284.53,413.86,532.51,446.97,477.32,1048.46,11897.23,2648.73,538.02,347370.31,2088.64
2029-02-17,12845.76,292.58,184.93,31700.39,2285.41,414.02,532.71,447.15,477.51,1048.86,11901.79,2649.75,538.23,347503.59,2089.44
2029-02-18,12850.69,292.69,185.0,31712.55,2286.29,414.18,532.91,447.32,477.69,1049.26,11906.36,2650.77,538.44,347636.87,2090.24
2029-02-19,12855.62,292.8,185.07,31724.7,2287.16,414.34,533.12,447.49,477.87,1049.66,11910.92,2651.78,538.64,347770.16,2091.04
2029-02-20,12860.54,292.91,185.14,31736.86,2288.04,414.5,533.32,447.66,478.06,1050.07,11915.49,2652.8,538.85,347903.44,2091.84
2029-02-21,12865.47,293.03,185.21,31749.02,2288.92,414.66,533.53,447.83,478.24,1050.47,11920.05,2653.81,539.06,348036.72,2092.64
2029-02-22,12870.4,293.14,185.29,31761.18,2289.79,414.82,533.73,448.0,478.42,1050.87,11924.62,2654.83,539.26,348170.0,2093.44
2029-02-23,12875.33,293.25,185.36,31773.34,2290.67,414.98,533.94,448.17,478.61,1051.27,11929.18,2655.85,539.47,348303.28,2094.25
2029-02-24,12880.25,293.36,185.43,31785.5,2291.54,415.13,534.14,448.35,478.79,1051.68,11933.74,2656.86,539.68,348436.56,2095.05
2029-02-25,12885.18,293.47,185.5,31797.65,2292.42,415.29,534.34,448.52,478.97,1052.08,11938.31,2657.88,539.88,348569.84,2095.85
2029-02-26,12890.11,293.59,185.57,31809.81,2293.3,415.45,534.55,448.69,479.16,1052.48,11942.87,2658.9,540.09,348703.13,2096.65
2029-02-27,12895.03,293.7,185.64,31821.97,2294.17,415.61,534.75,448.86,479.34,1052.88,11947.44,2659.91,540.29,348836.41,2097.45
2029-02-28,12899.96,293.81,185.71,31834.13,2295.05,415.77,534.96,449.03,479.52,1053.28,11952.0,2660.93,540.5,348969.69,2098.25
2029-03-01,12904.89,293.92,185.78,31846.29,2295.93,415.93,535.16,449.2,479.7,1053.69,11956.57,2661.94,540.71,349102.97,2099.05
2029-03-02,12909.81,294.04,185.85,31858.45,2296.8,416.09,535.37,449.37,479.89,1054.09,11961.13,2662.96,540.91,349236.25,2099.86
2029-03-03,12914.74,294.15,185.92,31870.6,2297.68,416.25,535.57,449.55,480.07,1054.49,11965.7,2663.98,541.12,349369.53,2100.66
2029-03-04,12919.67,294.26,185.99,31882.76,2298.56,416.41,535.77,449.72,480.25,1054.89,11970.26,2664.99,541.33,349502.82,2101.46
2029-03-05,12924.59,294.37,186.07,31894.92,2299.43,416.56,535.98,449.89,480.44,1055.3,11974.83,2666.01,541.53,349636.1,2102.26
2029-03-06,12929.52,294.48,186.14,31907.08,2300.31,416.72,536.18,450.06,480.62,1055.7,11979.39,2667.03,541.74,349769.38,2103.06
2029-03-07,12934.45,294.6,186.21,31919.24,2301.19,416.88,536.39,450.23,480.8,1056.1,11983.96,2668.04,541.95,349902.66,2103.86
2029-03-08,12939.37,294.71,186.28,31931.4,2302.06,417.04,536.59,450.4,480.99,1056.5,11988.52,2669.06,542.15,350035.94,2104.66
2029-03-09,12944.3,294.82,186.35,31943.55,2302.94,417.2,536.8,450.58,481.17,1056.9,11993.09,2670.08,542.36,350169.22,2105.47
2029-03-10,12949.23,294.93,186.42,31955.71,2303.82,417.36,537.0,450.75,481.35,1057.31,11997.65,2671.09,542.57,350302.5,2106.27
2029-03-11,12954.16,295.05,186.49,31967.87,2304.69,417.52,537.2,450.92,481.54,1057.71,12002.22,2672.11,542.77,350435.79,2107.07
2029-03-12,12959.08,295.16,186.56,31980.03,2305.57,417.68,537.41,451.09,481.72,1058.11,12006.78,2673.12,542.98,350569.07,2107.87
2029-03-13,12964.01,295.27,186.63,31992.19,2306.45,417.83,537.61,451.26,481.9,1058.51,12011.35,2674.14,543.18,350702.35,2108.67
2029-03-14,12968.94,295.38,186.7,32004.35,2307.32,417.99,537.82,451.43,482.09,1058.92,12015.91,2675.16,543.39,350835.63,2109.47
2029-03-15,12973.86,295.49,186.77,32016.5,2308.2,418.15,538.02,451.6,482.27,1059.32,12020.48,2676.17,543.6,350968.91,2110.27
2029-03-16,12978.79,295.61,186.85,32028.66,2309.08,418.31,538.23,451.78,482.45,1059.72,12025.04,2677.19,543.8,351102.19,2111.08
2029-03-17,12983.72,295.72,186.92,32040.82,2309.95,418.47,538.43,451.95,482.63,1060.12,12029.61,2678.21,544.01,351235.48,2111.88
2029-03-18,12988.64,295.83,186.99,32052.98,2310.83,418.63,538.64,452.12,482.82,1060.53,12034.17,2679.22,544.22,351368.76,2112.68
2029-03-19,12993.57,295.94,187.06,32065.14,2311.71,418.79,538.84,452.29,483.0,1060.93,12038.74,2680.24,544.42,351502.04,2113.48
2029-03-20,12998.5,296.06,187.13,32077.3,2312.58,418.95,539.04,452.46,483.18,1061.33,12043.3,2681.25,544.63,351635.32,2114.28
2029-03-21,13003.42,296.17,187.2,32089.46,2313.46,419.1,539.25,452.63,483.37,1061.73,12047.87,2682.27,544.84,351768.6,2115.08
2029-03-22,13008.35,296.28,187.27,32101.61,2314.33,419.26,539.45,452.8,483.55,1062.13,12052.43,2683.29,545.04,351901.88,2115.88
2029-03-23,13013.28,296.39,187.34,32113.77,2315.21,419.42,539.66,452.98,483.73,1062.54,12056.99,2684.3,545.25,352035.16,2116.68
2029-03-24,13018.2,296.5,187.41,32125.93,2316.09,419.58,539.86,453.15,483.92,1062.94,12061.56,2685.32,545.46,352168.45,2117.49
2029-03-25,13023.13,296.62,187.48,32138.09,2316.96,419.74,540.07,453.32,484.1,1063.34,12066.12,2686.34,545.66,352301.73,2118.29
2029-03-26,13028.06,296.73,187.55,32150.25,2317.84,419.9,540.27,453.49,484.28,1063.74,12070.69,2687.35,545.87,352435.01,2119.09
2029-03-27,13032.99,296.84,187.63,32162.41,2318.72,420.06,540.47,453.66,484.47,1064.15,12075.25,2688.37,546.07,352568.29,2119.89
2029-03-28,13037.91,296.95,187.7,32174.56,2319.59,420.22,540.68,453.83,484.65,1064.55,12079.82,2689.38,546.28,352701.57,2120.69
2029-03-29,13042.84,297.07,187.77,32186.72,2320.47,420.38,540.88,454.01,484.83,1064.95,12084.38,2690.4,546.49,352834.85,2121.49
2029-03-30,13047.77,297.18,187.84,32198.88,2321.35,420.53,541.09,454.18,485.02,1065.35,12088.95,2691.42,546.69,352968.14,2122.29
2029-03-31,13052.69,297.29,187.91,32211.04,2322.22,420.69,541.29,454.35,485.2,1065.75,12093.51,2692.43,546.9,353101.42,2123.1
2029-04-01,13057.62,297.4,187.98,32223.2,2323.1,420.85,541.5,454.52,485.38,1066.16,12098.08,2693.45,547.11,353234.7,2123.9
2029-04-02,13062.55,297.51,188.05,32235.36,2323.98,421.01,541.7,454.69,485.57,1066.56,12102.64,2694.47,547.31,353367.98,2124.7
2029-04-03,13067.47,297.63,188.12,32247.51,2324.85,421.17,541.9,454.86,485.75,1066.96,12107.21,2695.48,547.52,353501.26,2125.5
2029-04-04,13072.4,297.74,188.19,32259.67,2325.73,421.33,542.11,455.03,485.93,1067.36,12111.77,2696.5,547.73,353634.54,2126.3
2029-04-05,13077.33,297.85,188.26,32271.83,2326.61,421.49,542.31,455.21,486.11,1067.77,12116.34,2697.51,547.93,353767.82,2127.1
2029-04-06,13082.25,297.96,188.33,32283.99,2327.48,421.65,542.52,455.38,486.3,1068.17,12120.9,2698.53,548.14,353901.11,2127.9
2029-04-07,13087.18,298.08,188.41,32296.15,2328.36,421.8,542.72,455.55,486.48,1068.57,12125.47,2699.55,548.35,354034.39,2128.71
2029-04-08,13092.11,298.19,188.48,32308.31,2329.24,421.96,542.93,455.72,486.66,1068.97,12130.03,2700.56,548.55,354167.67,2129.51
2029-04-09,13097.03,298.3,188.55,32320.46,2330.11,422.12,543.13,455.89,486.85,1069.38,12134.6,2701.58,548.76,354300.95,2130.31
2029-04-10,13101.96,298.41,188.62,32332.62,2330.99,422.28,543.33,456.06,487.03,1069.78,12139.16,2702.6,548.96,354434.23,2131.11
2029-04-11,13106.89,298.52,188.69,32344.78,2331.87,422.44,543.54,456.23,487.21,1070.18,12143.73,2703.61,549.17,354567.51,2131.91
2029-04-12,13111.81,298.64,188.76,32356.94,2332.74,422.6,543.74,456.41,487.4,1070.58,12148.29,2704.63,549.38,354700.79,2132.71
2029-04-13,13116.74,298.75,188.83,32369.1,2333.62,422.76,543.95,456.58,487.58,1070.98,12152.86,2705.65,549.58,354834.08,2133.51
2029-04-14,13121.67,298.86,188.9,32381.26,2334.5,422.92,544.15,456.75,487.76,1071.39,12157.42,2706.66,549.79,354967.36,2134.32
2029-04-15,13126.6,298.97,188.97,32393.41,2335.37,423.07,544.36,456.92,487.95,1071.79,12161.99,2707.68,550.0,355100.64,2135.12
2029-04-16,13131.52,299.08,189.04,32405.57,2336.25,423.23,544.56,457.09,488.13,1072.19,12166.55,2708.69,550.2,355233.92,2135.92
2029-04-17,13136.45,299.2,189.12,32417.73,2337.13,423.39,544.76,457.26,488.31,1072.59,12171.11,2709.71,550.41,355367.2,2136.72
2029-04-18,13141.38,299.31,189.19,32429.89,2338.0,423.55,544.97,457.44,488.5,1073.0,12175.68,2710.73,550.62,355500.48,2137.52
2029-04-19,13146.3,299.42,189.26,32442.05,2338.88,423.71,545.17,457.61,488.68,1073.4,12180.24,2711.74,550.82,355633.77,2138.32
2029-04-20,13151.23,299.53,189.33,32454.21,2339.75,423.87,545.38,457.78,488.86,1073.8,12184.81,2712.76,551.03,355767.05,2139.12
2029-04-21,13156.16,299.65,189.4,32466.36,2340.63,424.03,545.58,457.95,489.04,1074.2,12189.37,2713.78,551.24,355900.33,2139.92
2029-04-22,13161.08,299.76,189.47,32478.52,2341.51,424.19,545.79,458.12,489.23,1074.61,12193.94,2714.79,551.44,356033.61,2140.73
2029-04-23,13166.01,299.87,189.54,32490.68,2342.38,424.34,545.99,458.29,489.41,1075.01,12198.5,2715.81,551.65,356166.89,2141.53
2029-04-24,13170.94,299.98,189.61,32502.84,2343.26,424.5,546.19,458.46,489.59,1075.41,12203.07,2716.82,551.85,356300.17,2142.33
2029-04-25,13175.86,300.09,189.68,32515.0,2344.14,424.66,546.4,458.64,489.78,1075.81,12207.63,2717.84,552.06,356433.45,2143.13
2029-04-26,13180.79,300.21,189.75,32527.16,2345.01,424.82,546.6,458.81,489.96,1076.21,12212.2,2718.86,552.27,356566.74,2143.93
2029-04-27,13185.72,300.32,189.82,32539.31,2345.89,424.98,546.81,458.98,490.14,1076.62,12216.76,2719.87,552.47,356700.02,2144.73
2029-04-28,13190.64,300.43,189.9,32551.47,2346.77,425.14,547.01,459.15,490.33,1077.02,12221.33,2720.89,552.68,356833.3,2145.53
2029-04-29,13195.57,300.54,189.97,32563.63,2347.64,425.3,547.22,459.32,490.51,1077.42,12225.89,2721.91,552.89,356966.58,2146.34
2029-04-30,13200.5,300.66,190.04,32575.79,2348.52,425.46,547.42,459.49,490.69,1077.82,12230.46,2722.92,553.09,357099.86,2147.14
2029-05-01,13205.43,300.77,190.11,32587.95,2349.4,425.62,547.63,459.66,490.88,1078.23,12235.02,2723.94,553.3,357233.14,2147.94
2029-05-02,13210.35,300.88,190.18,32600.11,2350.27,425.77,547.83,459.84,491.06,1078.63,12239.59,2724.95,553.51,357366.43,2148.74
2029-05-03,13215.28,300.99,190.25,32612.26,2351.15,425.93,548.03,460.01,491.24,1079.03,12244.15,2725.97,553.71,357499.71,2149.54
2029-05-04,13220.21,301.1,190.32,32624.42,2352.03,426.09,548.24,460.18,491.43,1079.43,12248.72,2726.99,553.92,357632.99,2150.34
2029-05-05,13225.13,301.22,190.39,32636.58,2352.9,426.25,548.44,460.35,491.61,1079.83,12253.28,2728.0,554.13,357766.27,2151.14
2029-05-06,13230.06,301.33,190.46,32648.74,2353.78,426.41,548.65,460.52,491.79,1080.24,12257.85,2729.02,554.33,357899.55,2151.95
2029-05-07,13234.99,301.44,190.53,32660.9,2354.66,426.57,548.85,460.69,491.98,1080.64,12262.41,2730.04,554.54,358032.83,2152.75
2029-05-08,13239.91,301.55,190.6,32673.06,2355.53,426.73,549.06,460.87,492.16,1081.04,12266.98,2731.05,554.74,358166.11,2153.55
2029-05-09,13244.84,301.67,190.68,32685.21,2356.41,426.89,549.26,461.04,492.34,1081.44,12271.54,2732.07,554.95,358299.4,2154.35
2029-05-10,13249.77,301.78,190.75,32697.37,2357.29,427.04,549.46,461.21,492.52,1081.85,12276.11,2733.08,555.16,358432.68,2155.15
2029-05-11,13254.69,301.89,190.82,32709.53,2358.16,427.2,549.67,461.38,492.71,1082.25,12280.67,2734.1,555.36,358565.96,2155.95
2029-05-12,13259.62,302.0,190.89,32721.69,2359.04,427.36,549.87,461.55,492.89,1082.65,12285.24,2735.12,555.57,358699.24,2156.75
2029-05-13,13264.55,302.11,190.96,32733.85,2359.92,427.52,550.08,461.72,493.07,1083.05,12289.8,2736.13,555.78,358832.52,2157.56
2029-05-14,13269.47,302.23,191.03,32746.01,2360.79,427.68,550.28,461.89,493.26,1083.46,12294.36,2737.15,555.98,358965.8,2158.36
2029-05-15,13274.4,302.34,191.1,32758.17,2361.67,427.84,550.49,462.07,493.44,1083.86,12298.93,2738.17,556.19,359099.09,2159.16
2029-05-16,13279.33,302.45,191.17,32770.32,2362.54,428.0,550.69,462.24,493.62,1084.26,12303.49,2739.18,556.4,359232.37,2159.96
2029-05-17,13284.26,302.56,191.24,32782.48,2363.42,428.16,550.89,462.41,493.81,1084.66,12308.06,2740.2,556.6,359365.65,2160.76
2029-05-18,13289.18,302.68,191.31,32794.64,2364.3,428.31,551.1,462.58,493.99,1085.06,12312.62,2741.22,556.81,359498.93,2161.56
2029-05-19,13294.11,302.79,191.38,32806.8,2365.17,428.47,551.3,462.75,494.17,1085.47,12317.19,2742.23,557.02,359632.21,2162.36
2029-05-20,13299.04,302.9,191.46,32818.96,2366.05,428.63,551.51,462.92,494.36,1085.87,12321.75,2743.25,557.22,359765.49,2163.17
2029-05-21,13303.96,303.01,191.53,32831.12,2366.93,428.79,551.71,463.09,494.54,1086.27,12326.32,2744.26,557.43,359898.77,2163.97
2029-05-22,13308.89,303.12,191.6,32843.27,2367.8,428.95,551.92,463.27,494.72,1086.67,12330.88,2745.28,557.64,360032.06,2164.77
2029-05-23,13313.82,303.24,191.67,32855.43,2368.68,429.11,552.12,463.44,494.91,1087.08,12335.45,2746.3,557.84,360165.34,2165.57
2029-05-24,13318.74,303.35,191.74,32867.59,2369.56,429.27,552.32,463.61,495.09,1087.48,12340.01,2747.31,558.05,360298.62,2166.37
2029-05-25,13323.67,303.46,191.81,32879.75,2370.43,429.43,552.53,463.78,495.27,1087.88,12344.58,2748.33,558.25,360431.9,2167.17
2029-05-26,13328.6,303.57,191.88,32891.91,2371.31,429.59,552.73,463.95,495.45,1088.28,12349.14,2749.35,558.46,360565.18,2167.97
2029-05-27,13333.52,303.69,191.95,32904.07,2372.19,429.74,552.94,464.12,495.64,1088.68,12353.71,2750.36,558.67,360698.46,2168.77
2029-05-28,13338.45,303.8,192.02,32916.22,2373.06,429.9,553.14,464.3,495.82,1089.09,12358.27,2751.38,558.87,360831.75,2169.58
2029-05-29,13343.38,303.91,192.09,32928.38,2373.94,430.06,553.35,464.47,496.0,1089.49,12362.84,2752.39,559.08,360965.03,2170.38
2029-05-30,13348.3,304.02,192.17,32940.54,2374.82,430.22,553.55,464.64,496.19,1089.89,12367.4,2753.41,559.29,361098.31,2171.18
2029-05-31,13353.23,304.13,192.24,32952.7,2375.69,430.38,553.75,464.81,496.37,1090.29,12371.97,2754.43,559.49,361231.59,2171.98
2029-06-01,13358.16,304.25,192.31,32964.86,2376.57,430.54,553.96,464.98,496.55,1090.7,12376.53,2755.44,559.7,361364.87,2172.78
2029-06-02,13363.09,304.36,192.38,32977.02,2377.45,430.7,554.16,465.15,496.74,1091.1,12381.1,2756.46,559.91,361498.15,2173.58
2029-06-03,13368.01,304.47,192.45,32989.17,2378.32,430.86,554.37,465.32,496.92,1091.5,12385.66,2757.48,560.11,361631.43,2174.38
2029-06-04,13372.94,304.58,192.52,33001.33,2379.2,431.01,554.57,465.5,497.1,1091.9,12390.23,2758.49,560.32,361764.72,2175.19
2029-06-05,13377.87,304.7,192.59,33013.49,2380.08,431.17,554.78,465.67,497.29,1092.31,12394.79,2759.51,560.53,361898.0,2175.99
2029-06-06,13382.79,304.81,192.66,33025.65,2380.95,431.33,554.98,465.84,497.47,1092.71,12399.36,2760.52,560.73,362031.28,2176.79
2029-06-07,13387.72,304.92,192.73,33037.81,2381.83,431.49,555.18,466.01,497.65,1093.11,12403.92,2761.54,560.94,362164.56,2177.59
2029-06-08,13392.65,305.03,192.8,33049.97,2382.71,431.65,555.39,466.18,497.84,1093.51,12408.49,2762.56,561.14,362297.84,2178.39
2029-06-09,13397.57,305.14,192.87,33062.12,2383.58,431.81,555.59,466.35,498.02,1093.91,12413.05,2763.57,561.35,362431.12,2179.19
2029-06-10,13402.5,305.26,192.95,33074.28,2384.46,431.97,555.8,466.52,498.2,1094.32,12417.61,2764.59,561.56,362564.41,2179.99
2029-06-11,13407.43,305.37,193.02,33086.44,2385.34,432.13,556.0,466.7,498.39,1094.72,12422.18,2765.61,561.76,362697.69,2180.8
2029-06-12,13412.35,305.48,193.09,33098.6,2386.21,432.28,556.21,466.87,498.57,1095.12,12426.74,2766.62,561.97,362830.97,2181.6
2029-06-13,13417.28,305.59,193.16,33110.76,2387.09,432.44,556.41,467.04,498.75,1095.52,12431.31,2767.64,562.18,362964.25,2182.4
2029-06-14,13422.21,305.71,193.23,33122.92,2387.96,432.6,556.61,467.21,498.93,1095.93,12435.87,2768.65,562.38,363097.53,2183.2
2029-06-15,13427.13,305.82,193.3,33135.07,2388.84,432.76,556.82,467.38,499.12,1096.33,12440.44,2769.67,562.59,363230.81,2184.0
2029-06-16,13432.06,305.93,193.37,33147.23,2389.72,432.92,557.02,467.55,499.3,1096.73,12445.0,2770.69,562.8,363364.09,2184.8
2029-06-17,13436.99,306.04,193.44,33159.39,2390.59,433.08,557.23,467.72,499.48,1097.13,12449.57,2771.7,563.0,363497.38,2185.6
2029-06-18,13441.91,306.15,193.51,33171.55,2391.47,433.24,557.43,467.9,499.67,1097.53,12454.13,2772.72,563.21,363630.66,2186.41
2029-06-19,13446.84,306.27,193.58,33183.71,2392.35,433.4,557.64,468.07,499.85,1097.94,12458.7,2773.74,563.42,363763.94,2187.21
2029-06-20,13451.77,306.38,193.65,33195.87,2393.22,433.56,557.84,468.24,500.03,1098.34,12463.26,2774.75,563.62,363897.22,2188.01
2029-06-21,13456.7,306.49,193.73,33208.02,2394.1,433.71,558.05,468.41,500.22,1098.74,12467.83,2775.77,563.83,364030.5,2188.81
2029-06-22,13461.62,306.6,193.8,33220.18,2394.98,433.87,558.25,468.58,500.4,1099.14,12472.39,2776.79,564.03,364163.78,2189.61
2029-06-23,13466.55,306.72,193.87,33232.34,2395.85,434.03,558.45,468.75,500.58,1099.55,12476.96,2777.8,564.24,364297.07,2190.41
2029-06-24,13471.48,306.83,193.94,33244.5,2396.73,434.19,558.66,468.93,500.77,1099.95,12481.52,2778.82,564.45,364430.35,2191.21
2029-06-25,13476.4,306.94,194.01,33256.66,2397.61,434.35,558.86,469.1,500.95,1100.35,12486.09,2779.83,564.65,364563.63,2192.01
2029-06-26,13481.33,307.05,194.08,33268.82,2398.48,434.51,559.07,469.27,501.13,1100.75,12490.65,2780.85,564.86,364696.91,2192.82
2029-06-27,13486.26,307.16,194.15,33280.97,2399.36,434.67,559.27,469.44,501.32,1101.16,12495.22,2781.87,565.07,364830.19,2193.62
2029-06-28,13491.18,307.28,194.22,33293.13,2400.24,434.83,559.48,469.61,501.5,1101.56,12499.78,2782.88,565.27,364963.47,2194.42
2029-06-29,13496.11,307.39,194.29,33305.29,2401.11,434.98,559.68,469.78,501.68,1101.96,12504.35,2783.9,565.48,365096.75,2195.22
2029-06-30,13501.04,307.5,194.36,33317.45,2401.99,435.14,559.88,469.95,501.86,1102.36,12508.91,2784.92,565.69,365230.04,2196.02
2029-07-01,13505.96,307.61,194.43,33329.61,2402.87,435.3,560.09,470.13,502.05,1102.76,12513.48,2785.93,565.89,365363.32,2196.82
2029-07-02,13510.89,307.73,194.51,33341.77,2403.74,435.46,560.29,470.3,502.23,1103.17,12518.04,2786.95,566.1,365496.6,2197.62
2029-07-03,13515.82,307.84,194.58,33353.93,2404.62,435.62,560.5,470.47,502.41,1103.57,12522.61,2787.96,566.31,365629.88,2198.43
2029-07-04,13520.74,307.95,194.65,33366.08,2405.5,435.78,560.7,470.64,502.6,1103.97,12527.17,2788.98,566.51,365763.16,2199.23
